Way Bill No,Waybill Date,Booking Branch,Collection At,Delivery at,,,Via location,Consigner Name,Consignee Name,,Pay Mode,Package Type,,Said to Contain,Invoice No,Value,No of PKGs,Actual Wt,Charge Wt.,Freight,Billing Party,Billing Location,TUR No,TUR Date,GDM No,LHS No,Remark,Special Remark
2753510,12/04/2020,BHIWANDI,BHIWANDI      ,KONGAON I,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,MAHADEV AGENCIES,,TBB,Cartons,,E GOODS,BHIIN0004240,1627082,264,3084,3337,30150.16,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2753511,01/04/2020,BHIWANDI,BHIWANDI,KHOPAT IND EST,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,KRISHNA DISTRIBUTORS,,TBB,Cartons,,S GOODS,BHIN0004243,249590,36,546,546,5067.18,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2753512,01/04/2020,BHIWANDI,BHIWANDI,THANE,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,PERFECT DISTRIBUTORS,,TBB,Cartons,,S GOODS,BHIN0004251,296284,91,736,736,6680.57,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2753513,02/04/2020,BHIWANDI,BHIWANDI      ,BHANDUP WEST     ,,,BHANDUP,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,METRO CASH AND CARRY BHANDUP,,TBB,Cartons,,S GOODS,BHIN0004253/442/4254/4255/4256,77027,13,134,134,1426.05,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007154,16BHD1703145,,
2753514,01/04/2020,BHIWANDI,BHIWANDI      ,Navi Mumbai,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,JALARAM & SONS  VASHI,,TBB,Cartons,,S GOODS,BHIN0004246,256249,28,448,448,4296.5,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2753515,01/04/2020,BHIWANDI,BHIWANDI,COTTON GREEN,,,BHANDUP,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,SHREE MAHAVEER DISTRIBUTORS MAZGAON,,TBB,Cartons,,S GOODS,BHIN0004248,393361,67,1046,1046,9354.72,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007154,16BHD1703145,,
2753516,01/04/2020,BHIWANDI,BHIWANDI      ,GREATER MUMBAI,,,BHANDUP,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,N.R ENTERPRISES,,TBB,Cartons,,S GOODS,BHIN0004250,354379,80,1051,1051,9316.76,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007154,16BHD1703145,,
2753517,01/04/2020,BHIWANDI,BHIWANDI      ,BHIWANDI      ,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,SHREE SWASTIK ENTERPRISES,,TBB,Cartons,,S GOODS,BHIN0004244,73247,6,98,98,1130.49,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2753518,01/04/2020,BHIWANDI,BHIWANDI      ,BORIVALI,,,BHANDUP,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,METRO CASH  AND CARRY PVT LTD,,TBB,Cartons,,S GOODS,BHIN000002,8038,3,18,18,716.08,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007154,16BHD1703145,,
2753519,01/04/2020,BHIWANDI,BHIWANDI      ,BORIVALI      ,,,BHANDUP,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,METRO CASH  AND CARRY PVT LTD,,TBB,Cartons,,S GOODS,BHIN0000001,35352,19,31,31,518.7,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007154,16BHD1703145,,
2753520,08/04/2020,BHIWANDI,BHIWANDI      ,PIMPRI,,,WAGHOLI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,VISHNU DISTRIBUTERS PUNE,,TBB,Cartons,,E GOODS,BHIIN000031,268821,23,340,366,3665.64,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2753521,08/04/2020,BHIWANDI,BHIWANDI      ,PIMPRI,,,WAGHOLI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,RATAN TRADERS PUNE,,TBB,Cartons,,E GOODS,BHIIN000030,326712,38,567,607,5709.42,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2753522,08/04/2020,BHIWANDI,BHIWANDI      ,TALEGAON,,,WAGHOLI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,PRANAV ENTERPRISES,,TBB,Cartons,,E GOODS,BHIIN0004247,52156,7,97,103,1128.31,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
